"common_name","eBird","BAMv4","BAMv5","CGAMv1","DUC"
"Brambling","Yes","No","No","No","No"
"Brant","Yes","No","No","No","No"
"Brahminy Starling","Yes","No","No","No","No"
"Brazilian Teal","Yes","No","No","No","No"
"Brown-breasted Bulbul","Yes","No","No","No","No"
"Broad-billed Hummingbird","Yes","No","No","No","No"
"Turquoise-crowned Hummingbird","Yes","No","No","No","No"
"Broad-billed Motmot","Yes","No","No","No","No"
"Broad-billed Sandpiper","Yes","No","No","No","No"
"Brown-billed Scythebill","Yes","No","No","No","No"
"Brown-backed Solitaire","Yes","No","No","No","No"
"Broad-billed Tody","Yes","No","No","No","No"
"Brown Cuckoo-Dove","Yes","No","No","No","No"
"Bran-colored Flycatcher","Yes","No","No","No","No"
"Rufescent Flycatcher","Yes","No","No","No","No"
"Brown-chested Martin","Yes","No","No","No","No"
"Brown-capped Tyrannulet","Yes","No","No","No","No"
"Brown-capped Vireo","Yes","No","No","No","No"
"Barred Owl","Yes","No","No","No","No"
"Brewer's Blackbird","Yes","Yes","No","No","No"
"Brown-eared Bulbul","Yes","No","No","No","No"
"Brewer's Sparrow","Yes","No","No","Yes","No"
"Brown-hooded Gull","Yes","No","No","No","No"
"Brown-hooded Parrot","Yes","No","No","No","No"
"Brown-headed Thrush","Yes","No","No","No","No"
"European Storm-Petrel","Yes","No","No","No","No"
"Bridled Sparrow","Yes","No","No","No","No"
"Bridled Titmouse","Yes","No","No","No","No"
"Brown Creeper","Yes","Yes","Yes","No","No"
"Brown Jay","Yes","No","No","No","No"
"American Barn Owl","Yes","No","No","No","No"
"Brown Pelican","Yes","No","No","No","No"
"Brown Shrike","Yes","No","No","No","No"
"Brown Thrasher","Yes","Yes","No","No","No"
"Bronzed Cowbird","Yes","No","No","No","No"
"Bronzed Drongo","Yes","No","No","No","No"
"Brown Falcon","Yes","No","No","No","No"
"Brownish Twistwing","Yes","No","No","No","No"
"Brown Gerygone","Yes","No","No","No","No"
"Brown Goshawk","Yes","No","No","No","No"
"Bronzy Hermit","Yes","No","No","No","No"
"Brown Honeyeater","Yes","No","No","No","No"
"Brolga","Yes","No","No","No","No"
"Bronze Mannikin","Yes","No","No","No","No"
"Brown Quail","Yes","No","No","No","No"
"Stewart Island Shag","Yes","No","No","No","No"
"Brown Teal","Yes","No","No","No","No"
"Brown Thornbill","Yes","No","No","No","No"
"Brown Tinamou","Yes","No","No","No","No"
"Brown Trembler","Yes","No","No","No","No"
"Brown Treecreeper","Yes","No","No","No","No"
"Bridled Quail-Dove","Yes","No","No","No","No"
"Bright-rumped Attila","Yes","No","No","No","No"
"Brown Snake-Eagle","Yes","No","No","No","No"
"Bristle-thighed Curlew","Yes","No","No","No","No"
"Broad-tailed Hummingbird","Yes","No","No","No","No"
"Brown-throated Parakeet","Yes","No","No","No","No"
"Bronze-tailed Plumeleteer","Yes","No","No","No","No"
"Little Wattlebird","Yes","No","No","No","No"
"Brown Violetear","Yes","No","No","No","No"
"Broad-winged Hawk","Yes","No","No","No","No"
"Bronze-winged Jacana","Yes","No","No","No","No"
"Bronze-winged Parrot","Yes","No","No","No","No"
"Bright-rumped Yellow-Finch","Yes","No","No","No","No"
"Bare-shanked Screech-Owl","Yes","No","No","No","No"
"Blue-tailed Bee-eater","Yes","No","No","No","No"
"Black-throated Blue Warbler","Yes","Yes","Yes","No","No"
